Material	SAE	DIN	WNR	KC 1.1 [Mpas]	KC 1.1 [Kpsi]	MC
A182 	ASTMA182F11-F12 	13CrMo44 	1.7335 	1775 	257 	0.24
A2 	A2 	X100CrMoV51 	1.2363 	2450 	355 	0.23
A2 (Hardenned) 	A2 	X100CrMoV5 1 	1.2363 	4700 	682 	0.25
A204Gr.A 	ASTMA204Gr.A 	15Mo3 	1.5415 	1775 	257 	0.24
A234WPB 				1775 	257 	0.24
A234WPL6 				1775 	257 	0.24
A27 65.35 	A27 65.35 	GS.45 	1.0443 	1350 	196 	0.21
A33 		Fe310.0 (St33) 	1.0035 	1350 	196 	0.21
A333G6 		P265GH 		1775 	257 	0.24
A34-2 		Ust34-2 	1.0028 	1350 	196 	0.21
A34-2NE 		RSt34-2 	1.0034 	1350 	196 	0.21
A350LF2 				1775 	257 	0.24
A350LF5 	ASTMA350LF5 	14Ni6 	1.5622 	1775 	257 	0.24
A355A 	A335A 		1.4545 	2450 	355 	0.23
A515.65 	A515 65 	H I 	1.0345 	1350 	196 	0.21
A516 	A516Gr.70 	17Mn4/ A515Gr.70/ A414Gr.F 	1.0481 	1500 	218 	0.22
A516G60 		P265GH 		1500 	218 	0.22
A516G70 		P295GH 		1500 	218 	0.22
A537 	A537Cl.1/ A414Gr.G/A612 	19Mn6 	1.0473 	1500 	218 	0.22
A570 	A570Gr.50/ A572Gr.50 	Fe490-2 (St50-2) 	1.0050 	1500 	218 	0.22
A570 	A570Gr.33,36 	Fe360B (Ust37-2) 	1.0036 	1500 	218 	0.22
A570 	A570Gr.40 	Fe430B (St44-2) 	1.0044 	1500 	218 	0.22
A570.36 	A570 36 	RSt37.2 	1.0038 	1350 	196 	0.21
A572 	A572Gr.65 	Fe590-2 (St60-2) 	1.0060 	1500 	218 	0.22
A572.60 				1500 	218 	0.22
A573 	A573Gr.70/ A611Gr.D 	Fe430D1 (St44-3) 	1.0144 	1350 	196 	0.21
A573.81.65 	A573.81 65 	St37.3 	1.0116 	1775 	257 	0.24
A6 	A6 			2450 	355 	0.23
A619 	A619(1008) 	RRSt3 	1.0347 	2450 	355 	0.23
A633 	A633Gr.C 	StE355 	1.0562 	1350 	196 	0.21
A7 	A7 			2450 	355 	0.23
A70-2 		Fe690-2 (St70-2) 	1.0070 	1500 	218 	0.22
A738 	A738 	Fe510D2 (Ast52) 	1.0577 	1500 	218 	0.22
Aermet 100 	AMS 6532 			1875 	272 	0.21
Aermet 310 				1875 	272 	0.21
Aermet 340 				1875 	272 	0.21
AL 29-4C 				2150 	312 	0.20
AL 4750 	ASTM B753 			3300 	479 	0.24
AL-6XN 				2150 	312 	0.20
AL-6XN Plus 				2150 	312 	0.20
Allcorr 				3300 	479 	0.24
AM 350 				2150 	312 	0.20
Armco 18 				2600 	377 	0.24
Armco 20-45-5 				3300 	479 	0.24
AS7G 		AlSi7Mg 		800 	116 	0.25
Astroloy 				3300 	479 	0.24
B-148-52 	B-148-52 	G-CuAl10Ni 	2.0975 	700 	102 	0.27
B163 	B163 	X10NiCrAlTi32-20 	1.4876 	2150 	312 	0.20
Bioline 4C27A 	420F MOD 	X 22 CrMoNiS 13 1 		2150 	312 	0.20
C18200 	C18200 	CuCrZr 	2.1293 	700 	102 	0.27
C2300 	C2300 	G-CuPb15Sn 	2.1182 	700 	102 	0.27
C25 	1025 	C25 	1.0406 	1500 	218 	0.22
C27200 	C27200 	CuZn37 	2.0321 	700 	102 	0.27
C36000 	C36000 	CuZn36Pb3 	2.0375 	700 	102 	0.27
C63000 	C63000 	CuAl10Ni5Fe4 	2.0966 	700 	102 	0.27
C81500 	C81500 	G-CuCrF35 	2.1292 	700 	102 	0.27
C83600 	C83600 	G-CuSn5ZnPb 	2.1096 	700 	102 	0.27
C83600 	C83600 	G-CuSn2ZnPb 	2.1098 	700 	102 	0.27
C86200 	C86200 	G-CuZn34Al2 	2.0596 	700 	102 	0.27
C86500 	C86500 	G-CuZn35Al1 	2.0592 	700 	102 	0.27
C90700 	C90700 	G-CuSn10 	2.1050 	700 	102 	0.27
C90800 	C90800 	G-CuSn12 	2.1052 	700 	102 	0.27
C93200 	C93200 	G-CuSn75Pb 	2.1090 	700 	102 	0.27
CF-8 	CF-8 	X6CrNi18-9 	1.4308 	2150 	312 	0.20
CF-8M 	CF-8M 	X6CrNiMo18-10 	1.4408 	2150 	312 	0.20
Custom 465 	AMS 5936 			2150 	312 	0.20
CuZn15 		CuZn15 	2.0240 	700 	102 	0.27
D2 	D2 	X165CrMoV12 	1.2601 	2450 	355 	0.23
D3 	D3 	X210Cr12 	1.2080 	2450 	355 	0.23
D4(D6) 	D4(D6) 	X210CrW12 	1.2436 	2450 	355 	0.23
Datalloy 2 				2150 	312 	0.20
Discaloy 16 	5725 			3100 	450 	0.24
Discaloy 24 	ASTM A638 			3100 	450 	0.24
Duplex 1803 (F51) 	ASTM A182 Grade F51 			2150 	312 	0.20
Duplex 2003 				2150 	312 	0.20
Duplex 2102 				2150 	312 	0.20
